bitlength,rounding,poi,inputsource,subchanneling,subchanneling_bits,ecc,multihashing,CAF,STEG BANDWIDTH,DISTANCE
2,6,all,IPD,none,0,none,0,2.0,,
2,6,all,IPD,none,0,hamming,0,2.0,,
2,6,all,IPD,none,0,hamming+,0,2.0,,
2,6,all,IPD,none,0,inline-hamming+,0,2.0,,
2,6,all,IPD,baseipd,2,none,0,2.0,,
2,6,all,IPD,baseipd,4,none,0,2.0,,
2,6,all,IPD,baseipd,8,none,0,2.0,,
2,6,all,IPD,baseipd,2,hamming,0,2.0,,
2,6,all,IPD,baseipd,4,hamming,0,2.0,,
2,6,all,IPD,baseipd,8,hamming,0,2.0,,
2,6,all,IPD,baseipd,2,hamming+,0,2.0,,
2,6,all,IPD,baseipd,4,hamming+,0,2.0,,
2,6,all,IPD,baseipd,8,hamming+,0,2.0,,
2,6,all,IPD,baseipd,2,inline-hamming+,0,2.0,,
2,6,all,IPD,baseipd,4,inline-hamming+,0,2.0,,
2,6,all,IPD,baseipd,8,inline-hamming+,0,2.0,,
2,6,all,IPD,iphash,2,none,0,2.0,,
2,6,all,IPD,iphash,4,none,0,2.0,,
2,6,all,IPD,iphash,8,none,0,2.0,,
2,6,all,IPD,iphash,2,hamming,0,2.0,,
2,6,all,IPD,iphash,4,hamming,0,2.0,,
2,6,all,IPD,iphash,8,hamming,0,2.0,,
2,6,all,IPD,iphash,2,hamming+,0,2.0,,
2,6,all,IPD,iphash,4,hamming+,0,2.0,,
2,6,all,IPD,iphash,8,hamming+,0,2.0,,
2,6,all,IPD,iphash,2,inline-hamming+,0,2.0,,
2,6,all,IPD,iphash,4,inline-hamming+,0,2.0,,
2,6,all,IPD,iphash,8,inline-hamming+,0,2.0,,
2,6,all,IPD,clockhash,2,none,0,2.0,,
2,6,all,IPD,clockhash,4,none,0,2.0,,
2,6,all,IPD,clockhash,8,none,0,2.0,,
2,6,all,IPD,clockhash,2,hamming,0,2.0,,
2,6,all,IPD,clockhash,4,hamming,0,2.0,,
2,6,all,IPD,clockhash,8,hamming,0,2.0,,
2,6,all,IPD,clockhash,2,hamming+,0,2.0,,
2,6,all,IPD,clockhash,4,hamming+,0,2.0,,
2,6,all,IPD,clockhash,8,hamming+,0,2.0,,
2,6,all,IPD,clockhash,2,inline-hamming+,0,2.0,,
2,6,all,IPD,clockhash,4,inline-hamming+,0,2.0,,
2,6,all,IPD,clockhash,8,inline-hamming+,0,2.0,,
2,6,all,ISD,none,0,none,0,2.0,,
2,6,all,ISD,none,0,hamming,0,2.0,,
2,6,all,ISD,none,0,hamming+,0,2.0,,
2,6,all,ISD,none,0,inline-hamming+,0,2.0,,
2,6,all,ICD,none,0,none,0,2.0,,
2,6,all,ICD,none,0,hamming,0,2.0,,
2,6,all,ICD,none,0,hamming+,0,2.0,,
2,6,all,ICD,none,0,inline-hamming+,0,2.0,,
2,6,all,ISPN,none,0,none,0,2.0,,
2,6,all,ISPN,none,0,hamming,0,2.0,,
2,6,all,ISPN,none,0,hamming+,0,2.0,,
2,6,all,ISPN,none,0,inline-hamming+,0,2.0,,
2,6,all,timestamp,none,0,none,0,2.0,,
2,6,all,timestamp,none,0,hamming,0,2.0,,
2,6,all,timestamp,none,0,hamming+,0,2.0,,
